strain_name,strain_variant
Blue Dream,Creative
Gelato,Euphoric
Wedding Cake,Relaxed
GSC,Hungry
OG Kush,Hungry
Original Glue,Relaxed
White Widow,Talkative
Sherbert,Relaxed
Runtz,Talkative
Pineapple Express,Energetic
Mimosa,Focused
Chemdog,Euphoric
AK-47,Hungry
Trainwreck,Euphoric
Stardawg,Hungry
Cherry Pie,Giggly
Bruce Banner,Creative
Blue Cookies,Aroused
MAC,Happy
SFV OG,Focused
Alien OG,Euphoric
Animal Cookies,Relaxed
Birthday Cake Kush,Relaxed
Tahoe OG Kush,Sleepy
Strawberry Banana,Relaxed
Banana Kush,Talkative
Sundae Driver,Happy
Fire OG,Hungry
Cookies and Cream,Happy
Headband,Creative
Platinum GSC,Relaxed
White Fire OG,Focused
Bubble Gum,Euphoric
Cinderella 99,Energetic
Zookies,Focused
Cheese,Hungry
