category,name,variant,adj-1,adj-2,adj-3,description,image_url,feelings-1-name,feelings-1-percent,feelings-2-name,feelings-2-percent,feelings-3-name,feelings-3-percent,feelings-4-name,feelings-4-percent,feelings-5-name,feelings-5-percent,helps-with-1-name,helps-with-1-percent,helps-with-2-name,helps-with-2-percent,helps-with-3-name,helps-with-3-percent,helps-with-4-name,helps-with-4-percent,helps-with-5-name,helps-with-5-percent,negatives-1-name,negatives-1-percent,negatives-2-name,negatives-2-percent,negatives-3-name,negatives-3-percent,negatives-4-name,negatives-4-percent,negatives-5-name,negatives-5-percent
Indica,Purple Punch,Relaxed,Peppery,Citrus,Pine,"Purple Punch is the sweet and sedating union of two indica-dominant classics. By breeding Larry OG with Granddaddy Purple, the astonishing trichome laden Purple Punch was born, smelling of grape candy, blueberry muffins, and tart Kool-Aid. The potency of this strain gives the consumer a one-two punch to the head and body, initially landing between the eyes and settling down into the limbs. Purple Punch is a delicious dessert strain that is best suited for after dinner. Its effects may help with managing nausea, stress, minor body aches, and sleeplessness.",null,Relaxed,81%,Happy,54%,Sleepy,45%,Euphoric,45%,Uplifted,30%,Stress,29%,Anxiety,29%,Insomnia,22%,Depression,22%,Pain,22%,Dry mouth,23%,Dry eyes,13%,Dizzy,6%,Anxious,3%,Headache,3%
Indica,Granddaddy Purple,Sleepy,Herbal,Peppery,Pine,"Introduced in 2003 by Ken Estes, Granddaddy Purple (or GDP) is a famous indica cross of Purple Urkle and Big Bud. This California staple inherits a complex grape and berry aroma from its Purple Urkle parent, while Big Bud passes on its oversized, compact bud structure. GDP flowers bloom in shades of deep purple, a contrasting backdrop for its snow-like dusting of white crystal resin.",null,Relaxed,60%,Sleepy,49%,Happy,46%,Euphoric,44%,Hungry,33%,Stress,38%,Pain,33%,Anxiety,30%,Insomnia,30%,Depression,21%,Dry mouth,30%,Dry eyes,17%,Dizzy,7%,Paranoid,4%,Headache,3%
Indica,Zkittlez,Relaxed,Peppery,Hoppy,Floral,"Zkittlez is an indica-dominant mix of Grape Ape and Grapefruit that is crossed with another undisclosed strain to produce this candy-flavored strain bred by 3rd Gen Family and Terp Hogz. This award-winning combination took 1st Place at the 2016 Emerald Cup and 1st Place Indica at the 2015 Cannabis Cups in San Francisco and in Michigan. The chunky colas explode in a spectrum of light green hues and emit a sweet, tropical blend of fruit flavors. The effects of Zkittlez are calming, leaving consumers focused, alert, and happy while relaxing the body to help unwind any time of day.",null,Relaxed,58%,Happy,41%,Euphoric,33%,Uplifted,28%,Sleepy,23%,Stress,20%,Anxiety,17%,Depression,16%,Pain,14%,Insomnia,11%,Dry mouth,19%,Dry eyes,10%,Dizzy,4%,Headache,3%,Anxious,2%
Indica,Do-Si-Dos,Relaxed,Citrus,Peppery,Floral,"Do-Si-Dos is an indica-dominant hybrid with qualities similar to its parent, OGKB, a GSC-phenotype. With glittering trichomes, bright pistils, and lime green and lavender leaves, this strain is a feast for eyes. Its aroma is pungent, sweet, and earthy with slight floral funkiness. These classic OG aromas blend nicely with medical-grade body effects that lean toward the sedative side with the addition of Face Off OG genetics. Enjoy a stoney, in-your-face buzz off the start that melts down over the body, prettifying the consumer with relaxation that emanates outward. ",null,Relaxed,69%,Euphoric,44%,Happy,43%,Sleepy,34%,Uplifted,30%,Stress,27%,Anxiety,23%,Pain,21%,Insomnia,19%,Depression,17%,Dry mouth,19%,Dry eyes,11%,Dizzy,6%,Paranoid,2%,Anxious,2%
Indica,Bubba Kush,Sleepy,Peppery,Citrus,Herbal,"Bubba Kush is an indica strain that has gained notoriety in the US and beyond for its heavy tranquilizing effects. Sweet hashish flavors with subtle notes of chocolate and coffee come through on the exhale, delighting the palate as powerful relaxation takes over. From head to toe, muscles ease with heaviness as dreamy euphoria blankets the mind, crushing stress while bringing happy moods. Bubba Kush exhibits a distinctive, bulky bud structure with hues that range from forest green to pale purple.",null,Relaxed,65%,Sleepy,54%,Happy,52%,Euphoric,46%,Hungry,37%,Stress,39%,Pain,35%,Insomnia,31%,Anxiety,29%,Depression,21%,Dry mouth,38%,Dry eyes,22%,Dizzy,9%,Paranoid,7%,Headache,4%
Indica,Northern Lights,Sleepy,Herbal,Peppery,Citrus,"Northern Lights stands among the most famous strains of all time, a pure indica cherished for its resinous buds, fast flowering, and resilience during growth. Itself a descendant of indigenous Afghani and Thai landrace strains, Northern Lights has given rise to famous hybrids like Shiva Skunk and Super Silver Haze. Rumor has it that Northern Lights first sprouted near Seattle, Washington, but was propagated out of Holland after 1985 at what is now Sensi Seeds.",null,Relaxed,65%,Happy,53%,Euphoric,51%,Sleepy,43%,Uplifted,32%,Stress,41%,Pain,31%,Anxiety,30%,Insomnia,28%,Depression,24%,Dry mouth,33%,Dry eyes,17%,Dizzy,8%,Paranoid,5%,Headache,3%
Indica,Ice Cream Cake,Tingly,Citrus,Peppery,Floral,"Bred by Seed Junky Genetics, Ice Cream Cake is an indica-dominant cross of Wedding Cake and Gelato #33. Completely flushed with icy trichomes, the buds express light green coloration with dark purple hues throughout. Ice Cream Cake maintains a creamy flavor profile with sweet hints of vanilla and sugary dough. Effects come on heavily, leaving you completely relaxed with a good night’s sleep soon to follow.",null,Relaxed,82%,Happy,50%,Euphoric,45%,Sleepy,44%,Uplifted,34%,Stress,23%,Pain,20%,Anxiety,19%,Depression,19%,Insomnia,15%,Dry mouth,15%,Dry eyes,9%,Dizzy,3%,Headache,2%,Paranoid,2%
Indica,Forbidden Fruit,Relaxed,Herbal,Peppery,Citrus,"Forbidden Fruit is the mouthwatering cross of Cherry Pie x Tangie. This sumptuous genetic cross expresses a beautiful dense bud structure with deep purple hues, dark green foliage, and wiry orange hairs. The terpene profile is a perfect mixture of Cherry Pie’s musky, sweet cherry undertones and Tangie’s loud tropical flavors. There are also notes of pine, mango, and passionfruit candy. The effects hit hard between the eyes and lay into the body with each hit. Forbidden Fruit’s deep physical relaxation and mental stoniness make it perfect for dulling minor physical discomfort and discarding stress. ",null,Relaxed,75%,Happy,52%,Euphoric,43%,Sleepy,35%,Uplifted,30%,Stress,27%,Anxiety,24%,Pain,21%,Depression,19%,Insomnia,18%,Dry mouth,16%,Dry eyes,10%,Dizzy,1%,Headache,1%,Paranoid,1%
Indica,GMO Cookies,Relaxed,Citrus,Peppery,Herbal,"GMO Cookies (aka Garlic Cookies) is a powerful indica-dominant strain crossed between Chemdog and GSC. GMO Cookies is known for its ability to relieve pain without putting you to bed in the process. The Chemdawg ancestry in GMO provides a petrol smell layered with coffee and fruit, while its GSC parentage provides a sweet and earthy flavor. GMO Cookies is bred by Divine Genetics.",null,Relaxed,81%,Euphoric,53%,Happy,52%,Uplifted,36%,Sleepy,31%,Pain,23%,Stress,21%,Anxiety,21%,Depression,16%,Insomnia,13%,Dry mouth,16%,Dizzy,5%,Dry eyes,5%,Anxious,3%,Paranoid,3%
Indica,Mendo Breath,Sleepy,Peppery,Citrus,Herbal,"Mendo Breath is an interesting mix of OGKB (OGKushBreath, which is the supposed patriarch in the Cookies Fam genetics) and Mendo Montage. Their forces combined make dense frosty buds that reek of sweet vanilla and caramel. But no matter how good this smells, save it for after work. This thumper can pivot your entire day’s plans with its powerful body high built for chronic pain and discomfort. ",null,Relaxed,80%,Happy,51%,Sleepy,49%,Euphoric,46%,Uplifted,28%,Stress,38%,Pain,36%,Anxiety,32%,Insomnia,26%,Depression,23%,Dry mouth,25%,Dry eyes,11%,Dizzy,5%,Anxious,4%,Paranoid,3%
