strain_name,strain_variant
Sour Diesel,Energetic
Jack Herer,Energetic
Green Crack,Energetic
Durban Poison,Energetic
Super Lemon Haze,Energetic
Amnesia Haze,Giggly
Lemon Haze,Talkative
Strawberry Cough,Energetic
Super Silver Haze,Energetic
Alaskan Thunder Fuck,Energetic
Tangie,Energetic
Ghost Train Haze,Energetic
Candyland,Talkative
Harlequin,Focused
Maui Wowie,Energetic
Purple Haze,Creative
Acapulco Gold,Creative
Chocolope,Energetic
Sour Tangie,Energetic
Super Sour Diesel,Creative
Amnesia,Giggly
White Buffalo,Euphoric
Clementine,Energetic
Silver Haze,Talkative
Haze,Energetic
Lemon Cake,Uplifted
Tropicana Cookies,Aroused
Moby Dick,Talkative
Island Sweet Skunk,Energetic
Fruit Punch,Energetic
Dutch Hawaiian,Uplifted
Lamb's Bread,Creative
Grapefruit,Energetic
Lemon Meringue,Creative
Mango Haze,Uplifted
Laughing Buddha,Giggly
Great White Shark,Energetic
Charlotte's Web,Focused
Tutankhamon,Focused
East Coast Sour Diesel,Energetic
Power Plant,Talkative
Cat Piss,Talkative
Colombian Gold,Creative
Hawaiian,Talkative
Candy Jack,Energetic
Cinex,Focused
Jack the Ripper,Energetic
Kali Mist,Energetic
Sunshine,Happy
Strawberry,Energetic
Thai,Focused
Incredible Hulk,Energetic
Hawaiian Punch,Tingly
Lemon G,Uplifted
Casey Jones,Energetic
Red Congolese,Focused
Cannalope Haze,Creative
Moonshine Haze,Uplifted
Red Headed Stranger,Energetic
Hawaiian Haze,Talkative
Sour Jack,Energetic
Hawaiian Snow,Giggly
Quantum Kush,Talkative
Vortex,Energetic
DelaHaze,Energetic
Super Jack,Energetic
Strawberry Lemonade,Energetic
Outer Space,Talkative
Arjan's Strawberry Haze,Talkative
Crystal Coma,Euphoric
Panama Red,Talkative
Sojay Haze,Creative
Dirty Girl,Aroused
Chocolate Diesel,Energetic
MediHaze,Focused
MediHaze,Focused
Chocolate Thai,Focused
Love Potion #1,Aroused
Hurricane,Uplifted
Stardawg Guava,Uplifted
1024,Energetic
Allen Wrench,Focused
Pineapple OG,Focused
Inzane In The Membrane,Focused
Matanuska Thunder Fuck,Aroused
Lemon Jack,Energetic
Neville's Haze,Giggly
Silver Kush,Giggly
Silver Kush,Giggly
Memory Loss,Uplifted
Green Goblin,Giggly
Lime Skunk,Creative
Bay 11,Focused
African,Giggly
Alaska,Energetic
Willie Nelson,Creative
Sage N Sour,Uplifted
Lemon Thai,Energetic
Jamaican,Giggly
Pineapple Haze,Energetic
Sour Joker,Energetic
Galactic Jack,Aroused
Lemon Sativa,Focused
